id,title,author,isbn,category,available
B0001,Practical Secrets (Vol. 1),Jennifer Miller,978-2-43-7706-2,Mathematics,true
B0002,Ultimate Systems,Thomas Martinez,978-1-53-8843-4,Business,true
B0003,Practical Secrets (Vol. 2),Linda Davis,978-4-48-7481-5,Chemistry,true
B0004,Mastering Systems,Robert White,978-4-89-9979-5,History,true
B0005,Advanced Future,Susan Smith,978-8-4-6866-7,Fiction,true
B0006,Ancient Journey,Karen Taylor,978-4-26-8771-5,Literature,true
B0007,Computational Database,Susan Wilson,978-7-5-9203-7,Biography,true
B0008,Introduction to Whispers,John Garcia,978-6-30-6114-5,Literature,true
B0009,Forgotten Universe,Karen Brown,978-3-24-9980-4,Computer Science,true
B0010,Ultimate Systems (Vol. 2),Elizabeth Davis,978-4-47-2528-1,Chemistry,true
B0011,Modern Dreams,Jessica Davis,978-6-93-2742-2,Fiction,true
B0012,Quantum Systems (Vol. 2),John Taylor,978-8-85-2470-0,Engineering,true
B0013,Introduction to History,Susan Garcia,978-4-8-7739-5,Engineering,true
B0014,Silent Principles,Jessica Johnson,978-3-64-5845-5,Physics,true
B0015,Dark Journey (Vol. 3),David Miller,978-6-41-2931-2,Physics,true
B0016,Hidden Engines (Vol. 2),Mary Taylor,978-3-25-7591-2,Literature,true
B0017,Ancient Database,Thomas Miller,978-3-6-6371-0,Business,true
B0018,Quantum Chemistry,Patricia Thomas,978-3-84-3644-3,Engineering,true
B0019,Global Art,Joseph Smith,978-3-34-2489-4,History,true
B0020,Hidden Database,Patricia Moore,978-8-34-4568-3,Fiction,true
B0021,Silent Networks (Vol. 1),Sarah Thompson,978-6-72-5193-7,Computer Science,true
B0022,Silent Chronicles,Barbara Martinez,978-3-84-1627-5,Computer Science,true
B0023,Mastering Networks (Vol. 1),Susan Moore,978-2-87-8520-4,Engineering,true
B0024,Forgotten Whispers,Linda Miller,978-2-0-1809-5,Computer Science,true
B0025,Ancient Dreams (Vol. 1),Michael Brown,978-7-40-3350-6,Chemistry,true
B0026,Beautiful Chemistry (Vol. 1),David Smith,978-0-13-6530-2,Chemistry,true
B0027,Introduction to Future,Linda Wilson,978-3-3-0621-0,Fiction,true
B0028,Practical Chemistry,Charles Jones,978-8-11-9032-7,Fiction,true
B0029,Modern Whispers (Vol. 1),Elizabeth Rodriguez,978-0-23-0005-6,Mathematics,true
B0030,Advanced Networks,Thomas Martin,978-7-1-3508-2,Literature,true
B0031,Ancient Principles,William Williams,978-6-66-4070-6,Chemistry,true
B0032,Lost Universe (Vol. 2),Richard Garcia,978-4-35-6416-3,Mathematics,true
B0033,Designing Patterns (Vol. 3),James Moore,978-0-88-3525-2,Business,true
B0034,Silent Engines (Vol. 1),Richard Taylor,978-1-12-8654-2,Biography,true
B0035,Ancient Journey (Vol. 3),Elizabeth Moore,978-2-54-5849-6,Computer Science,true
B0036,Computational Art,Charles Thomas,978-7-38-3717-7,Computer Science,true
B0037,Introduction to Art (Vol. 1),William Garcia,978-1-11-9292-0,Fiction,true
B0038,Lost Engines (Vol. 1),Joseph Thomas,978-2-70-6124-7,Business,true
B0039,Forgotten Database,James Hernandez,978-5-36-9146-6,Engineering,true
B0040,Advanced Journey (Vol. 1),Charles Smith,978-8-20-3370-4,Physics,true
B0041,Hidden Physics,Karen White,978-3-24-8367-8,Literature,true
